# Capacitance Measurement Data
# Generated: 2025-10-06T17:08:46.357851
# Instrument: mock
# Sample Period: 100 ms
# Autorange: True
# Sample Count: 45
# Soft Errors: 0
#
timestamp_iso8601,t_seconds,capacitance_F
2025-10-06T17:08:46.361482,3.631000000000e-03,1.116373271202e-09
2025-10-06T17:08:46.467799,1.099480000000e-01,1.016270294021e-09
2025-10-06T17:08:46.578475,2.206240000000e-01,1.116335331092e-09
2025-10-06T17:08:46.689320,3.314690000000e-01,1.046668966810e-09
2025-10-06T17:08:46.801382,4.435310000000e-01,1.028230681522e-09
2025-10-06T17:08:46.912743,5.548920000000e-01,1.140553552508e-09
2025-10-06T17:08:47.024300,6.664490000000e-01,1.060620265705e-09
2025-10-06T17:08:47.135613,7.777620000000e-01,1.103353579949e-09
2025-10-06T17:08:47.245959,8.881080000000e-01,1.083896282117e-09
2025-10-06T17:08:47.356388,9.985370000000e-01,9.960187191765e-10
2025-10-06T17:08:47.467760,1.109909000000e+00,1.059362244265e-09
2025-10-06T17:08:47.579538,1.221687000000e+00,1.036623666631e-09
2025-10-06T17:08:47.694097,1.336246000000e+00,1.007894811829e-09
2025-10-06T17:08:47.807150,1.449299000000e+00,9.927616349940e-10
2025-10-06T17:08:47.920078,1.562227000000e+00,1.058654455817e-09
2025-10-06T17:08:48.033006,1.675155000000e+00,1.075801177115e-09
2025-10-06T17:08:48.146918,1.789067000000e+00,1.068767897793e-09
2025-10-06T17:08:48.259700,1.901849000000e+00,1.044259961827e-09
2025-10-06T17:08:48.373021,2.015170000000e+00,1.026919876451e-09
2025-10-06T17:08:48.485031,2.127180000000e+00,1.020283049677e-09
2025-10-06T17:08:48.598993,2.241142000000e+00,1.035450520117e-09
2025-10-06T17:08:48.712305,2.354454000000e+00,1.018631473306e-09
2025-10-06T17:08:48.826474,2.468623000000e+00,1.047796955623e-09
2025-10-06T17:08:48.938988,2.581137000000e+00,1.054126370961e-09
2025-10-06T17:08:49.052166,2.694315000000e+00,1.023410761419e-09
2025-10-06T17:08:49.163964,2.806113000000e+00,1.046743719741e-09
2025-10-06T17:08:49.277310,2.919459000000e+00,1.028154290556e-09
2025-10-06T17:08:49.390097,3.032246000000e+00,1.054718225006e-09
2025-10-06T17:08:49.503493,3.145642000000e+00,1.072691732477e-09
2025-10-06T17:08:49.616609,3.258758000000e+00,1.061110693806e-09
2025-10-06T17:08:49.731133,3.373282000000e+00,1.071434745232e-09
2025-10-06T17:08:49.844021,3.486170000000e+00,9.967335603452e-10
2025-10-06T17:08:49.959138,3.601287000000e+00,1.041490225647e-09
2025-10-06T17:08:50.064510,3.706659000000e+00,1.064522345802e-09
2025-10-06T17:08:50.178596,3.820745000000e+00,1.077320992401e-09
2025-10-06T17:08:50.284017,3.926166000000e+00,9.985812390009e-10
2025-10-06T17:08:50.398578,4.040727000000e+00,1.060347500211e-09
2025-10-06T17:08:50.511288,4.153437000000e+00,1.097152374644e-09
2025-10-06T17:08:50.625242,4.267391000000e+00,1.048443605235e-09
2025-10-06T17:08:50.737104,4.379253000000e+00,1.051377897461e-09
2025-10-06T17:08:50.849747,4.491896000000e+00,1.070531911537e-09
2025-10-06T17:08:50.961000,4.603149000000e+00,1.063369403076e-09
2025-10-06T17:08:51.064974,4.707123000000e+00,1.078386185839e-09
2025-10-06T17:08:51.176327,4.818476000000e+00,1.057200881441e-09
2025-10-06T17:08:51.288123,4.930272000000e+00,1.060002336361e-09
