# Capacitance Measurement Data
# Generated: 2025-10-06T17:08:18.322689
# Instrument: mock
# Sample Period: 100 ms
# Autorange: True
# Sample Count: 45
# Soft Errors: 0
#
timestamp_iso8601,t_seconds,capacitance_F
2025-10-06T17:08:18.326375,3.686000000000e-03,1.062676231352e-09
2025-10-06T17:08:18.435820,1.131310000000e-01,1.056530311828e-09
2025-10-06T17:08:18.549486,2.267970000000e-01,1.095139480811e-09
2025-10-06T17:08:18.661939,3.392500000000e-01,1.063230137212e-09
2025-10-06T17:08:18.775140,4.524510000000e-01,1.044115064660e-09
2025-10-06T17:08:18.887468,5.647790000000e-01,1.012591424187e-09
2025-10-06T17:08:19.002615,6.799260000000e-01,1.080555245892e-09
2025-10-06T17:08:19.115127,7.924380000000e-01,1.073728115281e-09
2025-10-06T17:08:19.229473,9.067840000000e-01,1.106164956770e-09
2025-10-06T17:08:19.342016,1.019327000000e+00,1.028835634434e-09
2025-10-06T17:08:19.454264,1.131575000000e+00,1.056039477667e-09
2025-10-06T17:08:19.567543,1.244854000000e+00,1.053032126609e-09
2025-10-06T17:08:19.681432,1.358743000000e+00,1.052001041005e-09
2025-10-06T17:08:19.793481,1.470792000000e+00,1.055433826159e-09
2025-10-06T17:08:19.908528,1.585839000000e+00,9.947564582345e-10
2025-10-06T17:08:20.017640,1.694951000000e+00,1.084053820720e-09
2025-10-06T17:08:20.128436,1.805747000000e+00,1.077998680325e-09
2025-10-06T17:08:20.233267,1.910578000000e+00,1.094769577312e-09
2025-10-06T17:08:20.344207,2.021518000000e+00,1.134110418411e-09
2025-10-06T17:08:20.455307,2.132618000000e+00,1.043769763773e-09
2025-10-06T17:08:20.565926,2.243237000000e+00,1.053701967953e-09
2025-10-06T17:08:20.677562,2.354873000000e+00,1.055303223787e-09
2025-10-06T17:08:20.790462,2.467773000000e+00,1.123241881446e-09
2025-10-06T17:08:20.902586,2.579897000000e+00,9.940541242445e-10
2025-10-06T17:08:21.014876,2.692187000000e+00,1.071999031293e-09
2025-10-06T17:08:21.119333,2.796644000000e+00,1.003185068699e-09
2025-10-06T17:08:21.232334,2.909645000000e+00,9.641148467905e-10
2025-10-06T17:08:21.343381,3.020692000000e+00,9.838193045327e-10
2025-10-06T17:08:21.457175,3.134486000000e+00,1.006277043587e-09
2025-10-06T17:08:21.570022,3.247333000000e+00,1.092437676805e-09
2025-10-06T17:08:21.684999,3.362310000000e+00,1.024302247301e-09
2025-10-06T17:08:21.796687,3.473998000000e+00,1.046823454006e-09
2025-10-06T17:08:21.911463,3.588774000000e+00,1.013897487944e-09
2025-10-06T17:08:22.024838,3.702149000000e+00,1.076273748787e-09
2025-10-06T17:08:22.138933,3.816244000000e+00,1.016034611351e-09
2025-10-06T17:08:22.251656,3.928967000000e+00,1.101092003711e-09
2025-10-06T17:08:22.365549,4.042860000000e+00,1.019834888146e-09
2025-10-06T17:08:22.478078,4.155389000000e+00,1.027847243505e-09
2025-10-06T17:08:22.592314,4.269625000000e+00,1.059038141625e-09
2025-10-06T17:08:22.704952,4.382263000000e+00,1.055577764588e-09
2025-10-06T17:08:22.818511,4.495822000000e+00,1.104782108442e-09
2025-10-06T17:08:22.930798,4.608109000000e+00,1.058914191965e-09
2025-10-06T17:08:23.045386,4.722697000000e+00,1.012204923471e-09
2025-10-06T17:08:23.158317,4.835628000000e+00,1.034954458856e-09
2025-10-06T17:08:23.272671,4.949982000000e+00,1.034502999797e-09
